Dep.Var	Stress	Category	Morph.Type	Before	After	Speaker	YOB	Sex	Education	Job	Phoneme.Dep.Var
Realized	Unstressed	Lexical	Mono	Vowel	Vowel	GARF87	1987	F	Educated	White	d--Fricative
Realized	Unstressed	Lexical	Mono	Vowel	Vowel	GARF87	1987	F	Educated	White	d--D
Realized	Unstressed	Lexical	Mono	Vowel	Vowel	GARF87	1987	F	Educated	White	d--Flap
Deletion	Unstressed	Lexical	Mono	Liquid	Vowel	GARM85	1985	M	Educated	White	d--Deletion
Deletion	Unstressed	Lexical	Mono	Vowel	Vowel	GARM85	1985	M	Educated	White	d--Deletion
Realized	Unstressed	Lexical	Mono	Vowel	Pause	GARM85	1985	M	Educated	White	d--Fricative
Deletion	Stressed	Function	Mono	Nasal	H	DONF15	1915	F	Not Educated	Service	d--Deletion
Realized	Stressed	Function	Mono	Nasal	Pause	ELLF61	1961	F	Educated	White	d--T
Realized	Stressed	Function	Mono	Nasal	Pause	EVAF92	1992	F	Student	Student	d--T
Realized	Stressed	Function	Mono	Nasal	Pause	GARF37	1937	F	Not Educated	Service	d--T
Realized	Stressed	Function	Mono	Nasal	Pause	HUNF22	1922	F	Educated	Service	d--Fricative
Realized	Stressed	Function	Mono	Nasal	Consonant	MARM92	1992	M	Student	Student	d--Affricate
Deletion	Stressed	Function	Mono	Nasal	Pause	MARM92	1992	M	Student	Student	d--Deletion
Deletion	Stressed	Function	Mono	Nasal	Pause	MARM92	1992	M	Student	Student	d--Deletion
Realized	Stressed	Function	Mono	Nasal	Pause	PACM94	1994	M	Student	Student	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	BOUF65	1965	F	Educated	White	d--Fricative
Realized	Stressed	Lexical	Past	Other Fricative	Pause	CHIF55	1955	F	Educated	White	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	CHIF55	1955	F	Educated	White	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	CLAF52	1952	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	DONF15	1915	F	Not Educated	Service	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	DONM53	1953	M	Educated	Service	d--Flap
Realized	Stressed	Lexical	Past	Other Fricative	Pause	DONM58	1958	M	Not Educated	Service	d--Fricative
Realized	Stressed	Lexical	Past	Other Fricative	Pause	DOUF46	1946	F	Educated	Service	d--D
Realized	Stressed	Lexical	Past	Other Fricative	Pause	ELLF29	1929	F	Not Educated	Service	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	GARM42	1942	M	Not Educated	Blue	d--D
Realized	Stressed	Lexical	Past	Other Fricative	Pause	GREM45	1945	M	Not Educated	Blue	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	HOLF49	1949	F	Educated	Service	d--D
Deletion	Stressed	Lexical	Past	Other Fricative	Pause	HOLM52	1952	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Other Fricative	Pause	INGM84	1984	M	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	INGM87	1987	M	Educated	Service	d--Affricate
Deletion	Stressed	Lexical	Past	Other Fricative	Pause	KAYF29	1929	F	Not Educated	Service	d--Deletion
Deletion	Stressed	Lexical	Past	Other Fricative	Pause	KAYM29	1929	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Other Fricative	Pause	LATF53	1953	F	Educated	Service	d--D
Realized	Stressed	Lexical	Past	Other Fricative	Pause	LEOF66	1966	F	Educated	White	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	MOFM55	1955	M	Educated	White	d--T
Deletion	Stressed	Lexical	Past	Other Fricative	Pause	NATF84	1984	F	Educated	Service	d--Deletion
Realized	Stressed	Lexical	Past	Other Fricative	Pause	NEIF49	1949	F	Educated	Service	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	PEIF57	1957	F	Educated	White	d--T
Realized	Stressed	Lexical	Past	Other Fricative	Pause	ROBM64	1964	M	Educated	Service	d--D
Deletion	Stressed	Lexical	Past	Other Fricative	Pause	RUDF73	1973	F	Educated	Service	d--Deletion
Realized	Stressed	Lexical	Past	Other Fricative	Pause	SAMF61	1961	F	Educated	White	d--Fricative
Realized	Stressed	Lexical	Past	Other Fricative	Pause	SMIF58	1958	F	Not Educated	Service	d--Glottal Stop
Deletion	Stressed	Lexical	Past	Other Fricative	Pause	SMIM61	1961	M	Not Educated	Blue	d--Deletion
Realized	Stressed	Lexical	Past	Other Fricative	Pause	STEF99	1999	F	Student	Student	d--Fricative
Deletion	Stressed	Lexical	Past	Other Fricative	Pause	STEM42	1942	M	Not Educated	Service	d--Deletion
Realized	Stressed	Lexical	Past	Stop	Vowel	GARF87	1987	F	Educated	White	t--T
Realized	Stressed	Lexical	Past	Stop	Vowel	GARM85	1985	M	Educated	White	t--T
Realized	Stressed	Lexical	Past	Stop	H	INGM87	1987	M	Educated	Service	t--T
Realized	Stressed	Function	Mono	Vowel	Vowel	ARSM91	1991	M	Educated	White	t--Flap
Deletion	Stressed	Function	Mono	Vowel	Vowel	ARSM91	1991	M	Educated	White	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Vowel	BEAM91	1991	M	Student	Student	t--Flap
Deletion	Stressed	Function	Mono	Vowel	Vowel	BEAM91	1991	M	Student	Student	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Vowel	BOUF65	1965	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	BOUF65	1965	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	CARM91	1991	M	Student	Student	t--Affricate
Realized	Stressed	Function	Mono	Vowel	Vowel	CARM91	1991	M	Student	Student	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	CHIF55	1955	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	CHIF55	1955	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	CHIF55	1955	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	CHIF55	1955	F	Educated	White	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	CLAF52	1952	F	Educated	Service	t--Flap
Realized	Stressed	Function	Mono	Vowel	Vowel	CLAF52	1952	F	Educated	Service	t--Flap
Deletion	Stressed	Function	Mono	Vowel	Vowel	CONM89	1989	M	Educated	Service	t--Deletion
Realized	Stressed	Function	Mono	Vowel	Vowel	DAVM90	1990	M	Educated	Service	t--T
